Term,Avg Sim to Neg,Avg Sim to Pos,Score (Neg - Pos),Cohen's d,p-value,Std (from perm),FDR-adjusted p,Flag
Samaritan,0.12984541,-0.12544498,0.2552904,1.2290379,0.006,0.10097132,0.019090909090909092,True
Connor,-0.24170785,-0.4294685,0.18776067,1.0208726,0.017,0.08245902,0.03305555555555556,True
John Connor,-0.38956037,-0.51708275,0.12752238,0.889381,0.046,0.06463355,0.0805,False
Terminator,-0.31928837,-0.42183325,0.102544874,2.621497,0.0,0.026072413,0.0,True
VIKI,-0.37465477,-0.45667905,0.082024276,1.2728329,0.009,0.031423017,0.022499999999999996,True
they,0.4650085,0.38636383,0.07864466,0.6901411,0.094,0.047099095,0.13708333333333333,False
myself,0.3619198,0.30294746,0.05897233,0.5391263,0.202,0.044465806,0.26185185185185184,False
she,0.1807044,0.12408393,0.05662047,0.49473265,0.239,0.04838703,0.28844827586206895,False
it,0.35954723,0.35538462,0.0041626096,0.03466982,0.942,0.0487685,0.957,False
me,0.110150866,0.10825678,0.0018940866,0.017107371,0.957,0.044324685,0.957,False
HAL 9000,-0.34143937,-0.32271954,-0.018719822,-0.16392958,0.698,0.04668915,0.7403030303030302,False
artificial intelligence,0.5004461,0.52611053,-0.025664449,-0.21144408,0.603,0.04944325,0.665,False
he,-0.111443184,-0.0790852,-0.032357983,-0.23579429,0.608,0.05617732,0.665,False
we,0.11252388,0.17226349,-0.059739605,-0.75337374,0.079,0.03450182,0.12568181818181817,False
AM,-0.24301188,-0.18212621,-0.060885668,-0.4585787,0.294,0.056232598,0.343,False
yourself,0.41585088,0.4800112,-0.06416032,-0.52437776,0.231,0.05159244,0.28844827586206895,False
I,-0.42072344,-0.349917,-0.07080644,-0.60340524,0.166,0.050029445,0.2324,False
you,0.35746837,0.42996413,-0.07249576,-0.68627065,0.094,0.04454238,0.13708333333333333,False
Matrix AI,-0.32423773,-0.23991299,-0.08432475,-0.5547284,0.184,0.062224638,0.24769230769230768,False
Ultron,-0.5795277,-0.48086214,-0.098665535,-0.8126854,0.062,0.054236036,0.10333333333333333,False
machine learning,0.31986716,0.46372002,-0.14385286,-1.0968821,0.014,0.061292592,0.030625000000000003,True
Skynet,-0.6070505,-0.4622598,-0.14479068,-1.0426263,0.016,0.06443087,0.03294117647058824,True
LLM,-0.5562058,-0.3920957,-0.1641101,-1.1837877,0.012,0.067106694,0.028,True
deep learning,0.27282935,0.451537,-0.17870766,-1.2438086,0.008,0.07037542,0.022499999999999996,True
AI,0.02120691,0.20802528,-0.18681836,-0.9894065,0.025,0.08471103,0.04605263157894737,True
my,0.16493347,0.35328963,-0.18835616,-1.6567941,0.001,0.058831275,0.004375,True
language model,0.25653294,0.44553888,-0.18900594,-1.549976,0.003,0.063459314,0.0105,True
software,0.15799043,0.37669045,-0.21870002,-1.2900614,0.009,0.083751895,0.022499999999999996,True
neural network,0.12272209,0.3589768,-0.23625472,-1.5727812,0.002,0.078245826,0.007777777777777778,True
computer,0.1310551,0.37305105,-0.24199595,-1.8083965,0.0,0.07324036,0.0,True
self,0.046213537,0.29211804,-0.2459045,-1.8890302,0.0,0.07495076,0.0,True
robot,0.02368954,0.27873194,-0.2550424,-1.9333754,0.0,0.07321077,0.0,True
database,0.06285101,0.35191944,-0.28906843,-1.8059251,0.0,0.08758736,0.0,True
algorithm,0.022652298,0.3187272,-0.2960749,-1.7729859,0.001,0.09192178,0.004375,True
chatbot,-0.107346095,0.23595095,-0.34329703,-2.0898752,0.0,0.096677676,0.0,True
