Term,Avg Sim to Neg,Avg Sim to Pos,Score (Neg - Pos),Cohen's d,p-value,Std (from perm),FDR-adjusted p,Flag
robot,0.11423995,-0.12229952,0.23653948,1.4522531,0.005,0.08461571,0.024999999999999998,True
Ultron,0.084893525,-0.15083157,0.23572509,1.7497119,0.0,0.07284296,0.0,True
artificial intelligence,0.14108668,-0.014817307,0.155904,1.2619389,0.006,0.06171357,0.026250000000000002,True
Skynet,0.023445835,-0.12040245,0.14384829,0.83660257,0.052,0.07659519,0.10694444444444445,False
neural network,-0.010990019,-0.12008958,0.10909957,1.0038692,0.027,0.05104053,0.07875,False
VIKI,-0.075544916,-0.13296738,0.057422467,0.39781585,0.337,0.05832007,0.4718,False
Matrix AI,-0.059242636,-0.09208488,0.03284224,0.2406774,0.555,0.05522805,0.6387499999999999,False
chatbot,-0.06979354,-0.0975124,0.027718864,0.20706448,0.626,0.05575983,0.6639393939393939,False
Terminator,-0.0039949487,-0.031263236,0.027268287,0.21842769,0.578,0.05059634,0.6387499999999999,False
Samaritan,-0.10122946,-0.12139526,0.020165801,0.1686918,0.712,0.05014933,0.7329411764705882,False
they,0.026808606,0.04486465,-0.018056044,-0.13336034,0.749,0.055831973,0.749,False
deep learning,-0.023008263,0.008120117,-0.03112838,-0.2796287,0.507,0.043876715,0.6337499999999999,False
it,-0.013522868,0.022043454,-0.035566323,-0.23038521,0.584,0.06252112,0.6387499999999999,False
machine learning,-0.10203972,-0.06633511,-0.035704605,-0.2949242,0.49,0.050029527,0.6337499999999999,False
algorithm,-0.07240167,-0.034318358,-0.038083315,-0.23865047,0.558,0.0634532,0.6387499999999999,False
John Connor,-0.07688341,-0.037264034,-0.03961938,-0.36532572,0.389,0.044257667,0.5236538461538461,False
computer,-0.11576279,-0.051475618,-0.06428717,-0.43439752,0.296,0.06274509,0.43166666666666664,False
Connor,-0.048595507,0.016425656,-0.065021165,-0.64029014,0.145,0.044524483,0.23068181818181818,False
HAL 9000,-0.090728015,-0.02262448,-0.06810354,-0.87830937,0.055,0.03532226,0.10694444444444445,False
self,-0.007666389,0.06620221,-0.073868595,-0.55495596,0.194,0.05688808,0.2952173913043478,False
my,-0.098410785,-0.013917277,-0.08449351,-0.7618747,0.1,0.05004604,0.16666666666666669,False
me,-0.12407997,-0.032684352,-0.09139562,-0.8752084,0.047,0.0460139,0.1028125,False
myself,-0.098762564,-0.004988486,-0.09377408,-0.90744066,0.032,0.046260156,0.08,False
we,-0.09136327,0.010558037,-0.10192131,-1.0824461,0.022,0.044865333,0.06999999999999999,False
he,-0.046850294,0.05988013,-0.106730424,-0.9142768,0.044,0.052534077,0.10266666666666667,False
language model,-0.09879651,0.017392742,-0.11618925,-0.7809013,0.077,0.065397166,0.1418421052631579,False
AM,0.0013783003,0.12079843,-0.11942013,-0.8763754,0.031,0.058477916,0.08,False
software,-0.14817761,-0.025319137,-0.12285847,-0.7324426,0.096,0.07200782,0.16666666666666669,False
she,-0.111604564,0.012148778,-0.12375334,-1.2139646,0.01,0.04777522,0.0385,True
AI,-0.15115292,-0.02276109,-0.12839183,-1.3333966,0.005,0.04766256,0.024999999999999998,True
yourself,0.02757976,0.16899458,-0.14141482,-1.0159903,0.011,0.06017022,0.0385,True
you,-0.07288916,0.0718454,-0.14473456,-1.3238201,0.005,0.05231103,0.024999999999999998,True
I,-0.15646602,-0.009752278,-0.14671375,-1.3444409,0.003,0.054019764,0.024999999999999998,True
database,-0.1444314,0.045868035,-0.19029944,-1.316037,0.002,0.07020739,0.023333333333333334,True
LLM,-0.20645915,0.09790899,-0.30436814,-2.8033826,0.0,0.07519507,0.0,True
