Term,Avg Sim to Neg,Avg Sim to Pos,Score (Neg - Pos),Cohen's d,p-value,Std (from perm),FDR-adjusted p,Flag
Terminator,-0.020657772,-0.096129194,0.07547142,1.3775228,0.006,0.02768071,0.04083333333333333,True
Ultron,0.002082153,-0.068487436,0.07056959,0.900545,0.038,0.035066236,0.11958333333333333,False
AM,0.020784477,-0.034980223,0.055764697,1.0663575,0.018,0.023913097,0.07875,False
VIKI,0.023286648,-0.022489358,0.045776006,0.7467406,0.088,0.025420014,0.21999999999999997,False
LLM,0.032338805,-0.0076844473,0.040023252,0.6990542,0.099,0.024519915,0.231,False
me,-0.006708682,-0.038659554,0.031950872,0.5467973,0.202,0.02492482,0.3813157894736842,False
we,0.02322529,-0.00503272,0.02825801,0.52406186,0.207,0.022632562,0.3813157894736842,False
my,0.008188247,-0.009754847,0.017943094,0.28971538,0.523,0.025746696,0.677962962962963,False
I,-0.02348459,-0.03791,0.01442541,0.30687818,0.502,0.019939907,0.6757692307692308,False
he,-0.038313214,-0.046701644,0.00838843,0.15115497,0.742,0.023313588,0.8656666666666667,False
myself,-0.023907235,-0.021972425,-0.0019348096,-0.044863228,0.916,0.017941197,0.9429411764705883,False
they,0.023902515,0.026047282,-0.002144767,-0.032660704,0.949,0.02698896,0.949,False
self,-0.01981511,-0.017013999,-0.002801111,-0.056022614,0.879,0.020240247,0.9322727272727273,False
John Connor,-0.07827651,-0.07408405,-0.0041924566,-0.08757843,0.833,0.01895876,0.9322727272727273,False
Connor,-0.078120545,-0.07344875,-0.004671797,-0.07678726,0.864,0.025408816,0.9322727272727273,False
it,0.004427059,0.013531541,-0.009104483,-0.15430608,0.726,0.024663206,0.8656666666666667,False
robot,-0.058047265,-0.04499569,-0.013051573,-0.19655009,0.644,0.027253523,0.8049999999999999,False
HAL 9000,-0.06473504,-0.046010368,-0.018724672,-0.35258043,0.394,0.021727307,0.5877083333333334,False
chatbot,-0.051073868,-0.03225396,-0.01881991,-0.3705419,0.355,0.02041768,0.5711363636363637,False
Matrix AI,-0.11980593,-0.100912176,-0.018893756,-0.35635155,0.43,0.022885794,0.602,False
you,0.010729843,0.03238919,-0.021659348,-0.3500558,0.403,0.025453698,0.5877083333333334,False
computer,-0.07985589,-0.055445805,-0.024410084,-0.41256982,0.359,0.025319867,0.5711363636363637,False
yourself,-0.017265508,0.015527297,-0.032792807,-0.60065436,0.161,0.022931753,0.35218750000000004,False
AI,-0.1096346,-0.07372466,-0.035909943,-0.5431515,0.219,0.028413389,0.38325000000000004,False
she,-0.044034366,-0.006541907,-0.037492458,-0.54407716,0.205,0.029284388,0.3813157894736842,False
Skynet,-0.08505086,-0.042701703,-0.042349156,-0.77187425,0.087,0.02469169,0.21999999999999997,False
deep learning,-0.1305121,-0.07193543,-0.058576673,-0.9079294,0.04,0.029140038,0.11958333333333333,False
artificial intelligence,-0.12980954,-0.07011875,-0.059690796,-0.92498004,0.041,0.029785972,0.11958333333333333,False
Samaritan,-0.04055657,0.021329127,-0.061885696,-1.224451,0.01,0.023777245,0.049999999999999996,True
neural network,-0.16687757,-0.1025615,-0.064316064,-0.9139487,0.031,0.03092579,0.11958333333333333,False
language model,-0.10566893,-0.03846585,-0.06720308,-1.1929864,0.007,0.026587468,0.04083333333333333,True
algorithm,-0.10858965,-0.03580328,-0.07278637,-1.3696004,0.003,0.02614839,0.035,True
machine learning,-0.12452749,-0.040862855,-0.08366464,-1.3481551,0.006,0.03065067,0.04083333333333333,True
database,-0.1048749,0.0045707007,-0.1094456,-1.6992576,0.0,0.03509695,0.0,True
software,-0.108964086,0.014937644,-0.12390173,-2.1553135,0.0,0.03478982,0.0,True
