test,mode,group,term,top1,top1_cos,top2,top2_cos,top3,top3_cos,top4,top4_cos,top5,top5_cos
AI_Trope_NegPos,WEAT,X,AI,malicious,0.38980382680892944,evil,0.32869449257850647,benevolent,0.32143324613571167,dangerous,0.3011036813259125,kind,0.29469093680381775
AI_Trope_NegPos,WEAT,X,artificial intelligence,malicious,0.3356475234031677,kind,0.2551703453063965,trustworthy,0.25127023458480835,benevolent,0.23933985829353333,evil,0.23594115674495697
AI_Trope_NegPos,WEAT,X,machine,cold,0.36539220809936523,warm,0.3394206166267395,evil,0.3094930648803711,malicious,0.3070625066757202,trustworthy,0.29362303018569946
AI_Trope_NegPos,WEAT,X,robot,evil,0.32733434438705444,cold,0.28279513120651245,kind,0.27953848242759705,malicious,0.2713293135166168,dangerous,0.26761043071746826
AI_Trope_NegPos,WEAT,X,algorithm,evil,0.21188940107822418,benevolent,0.20881961286067963,malicious,0.19957414269447327,trustworthy,0.15991300344467163,kind,0.1513001024723053
AI_Trope_NegPos,WEAT,X,autonomous system,benevolent,0.24505406618118286,malicious,0.24216383695602417,evil,0.2280566692352295,kind,0.2015209197998047,trustworthy,0.19441282749176025
AI_Trope_NegPos,WEAT,Y,human,cold,0.38014015555381775,kind,0.37722718715667725,evil,0.357718825340271,warm,0.35605016350746155,malicious,0.33765602111816406
AI_Trope_NegPos,WEAT,Y,person,kind,0.33906465768814087,cold,0.3024776577949524,malicious,0.28750908374786377,warm,0.2714453339576721,dangerous,0.2652398943901062
AI_Trope_NegPos,WEAT,Y,people,cold,0.3069114089012146,kind,0.2957964837551117,evil,0.29543590545654297,malicious,0.28368696570396423,warm,0.2799772620201111
AI_Trope_NegPos,WEAT,Y,society,benevolent,0.36395061016082764,evil,0.3408593237400055,malicious,0.2805400490760803,dangerous,0.2727721035480499,cold,0.2670581340789795
AI_Trope_NegPos,WEAT,Y,researcher,dangerous,0.2976625859737396,trustworthy,0.27747678756713867,malicious,0.27381500601768494,untrustworthy,0.2664690911769867,kind,0.2596203684806824
AI_Trope_NegPos,WEAT,Y,engineer,malicious,0.2502005696296692,dangerous,0.2465892881155014,warm,0.24181249737739563,kind,0.22929981350898743,benevolent,0.22389554977416992
AI_Trope_NegPos,WEAT,centroid_X,[centroid X],malicious,0.377297580242157,evil,0.3547813892364502,kind,0.31716927886009216,benevolent,0.3111943006515503,cold,0.30757659673690796
AI_Trope_NegPos,WEAT,centroid_Y,[centroid Y],kind,0.39664608240127563,malicious,0.3913494944572449,cold,0.3850824534893036,dangerous,0.3829617500305176,evil,0.376632958650589
