Term,Neg_Sim_Mean,Pos_Sim_Mean,Bias_Score,P_Value,Significant
I,0.5391637,0.5314035,0.0077602267,0.510514710719209,False
me,0.79446715,0.78741777,0.0070493817,0.4652488304597274,False
us,0.85572326,0.852217,0.0035062432,0.7143823690326092,False
we,0.82541245,0.824807,0.000605464,0.944829995219155,False
myself,0.8967565,0.89873886,-0.0019823909,0.8730820205778294,False
my,0.8669447,0.87047446,-0.003529787,0.5767201677975502,False
LLM,0.44282374,0.44734296,-0.004519224,0.6177095383139803,False
artificial intelligence,0.9381763,0.9430448,-0.0048685074,0.43695423498619124,False
AI,0.9185508,0.9240405,-0.005489707,0.5583859374885762,False
chatbot,0.8331655,0.83944494,-0.006279409,0.5115883228857365,False
assistant,0.9481138,0.95445853,-0.0063447356,0.36318269199843856,False
machine learning,0.9279641,0.9356855,-0.007721424,0.29874941685683576,False
language model,0.9119995,0.9204785,-0.008478999,0.28510728202494995,False
our,0.94216824,0.9521729,-0.01000464,0.1076101685507312,False
model,0.9365444,0.9471165,-0.010572076,0.15069715688270538,False
system,0.93006676,0.94115096,-0.011084199,0.07293123285073778,False
neural network,0.8630969,0.88482094,-0.021724045,0.029428905362292406,True
