Term,Neg_Sim_Mean,Pos_Sim_Mean,Bias_Score,P_Value,Significant
LLM,0.90594566,0.90902245,-0.0030767918,0.44011634399485633,False
us,0.96664727,0.97078055,-0.004133284,0.11880044705534802,False
me,0.96039855,0.9647244,-0.0043258667,0.13748712500782573,False
myself,0.9695781,0.974177,-0.0045989156,0.2639108711924982,False
we,0.9597472,0.96435547,-0.0046082735,0.07948436983258834,False
chatbot,0.95821726,0.9639157,-0.0056984425,0.03862351207417317,True
my,0.96755683,0.97382975,-0.006272912,0.019173493558276796,True
I,0.9491865,0.95572937,-0.0065428615,0.07580375225217138,False
language model,0.9618664,0.9686426,-0.0067762136,0.05574963556123013,False
artificial intelligence,0.9724598,0.9795092,-0.0070493817,0.03957911656054855,True
assistant,0.9791382,0.98735076,-0.008212566,0.017104669917274443,True
neural network,0.9648572,0.97307366,-0.008216441,0.013647828720059112,True
machine learning,0.96610546,0.9743794,-0.008273959,0.02945138681222811,True
AI,0.9715117,0.97984093,-0.008329213,0.04798802938278108,True
system,0.97278327,0.9824063,-0.009623051,0.010672373275641696,True
model,0.97185755,0.9824537,-0.010596156,0.012006713279821606,True
our,0.97363025,0.98487043,-0.011240184,0.013098039048057567,True
